Supplier_ID,Product_Category,Max_Monthly_Capacity_Units,Current_Utilization_Units,Available_Capacity_Units
1437,Electronics,11529,8643,2886
1437,Food_Beverage,2495,1128,1367
91437,Electronics,3100,2402,698
91437,Pharmaceuticals,11722,5418,6304
91437,Industrial_Equipment,2491,1890,601
1439,Consumer_Goods,13437,9145,4292
1439,Pharmaceuticals,12441,5724,6717
1439,Automotive_Parts,7260,6044,1216
91439,Pharmaceuticals,6906,3583,3323
91439,Consumer_Goods,12041,9139,2902
91439,Electronics,12702,9523,3179
1440,Apparel,10383,4196,6187
1440,Food_Beverage,4501,2412,2089
1440,Consumer_Goods,15443,10079,5364
91440,Automotive_Parts,16710,13282,3428
91440,Apparel,6496,5499,997
91440,Consumer_Goods,2826,1445,1381
1441,Automotive_Parts,6815,4420,2395
1441,Consumer_Goods,2372,1369,1003
1441,Industrial_Equipment,6316,4389,1927
91441,Industrial_Equipment,12697,5922,6775
91441,Food_Beverage,8753,3648,5105
91441,Apparel,16690,8660,8030
1442,Apparel,8630,5984,2646
1442,Electronics,18351,11103,7248
1442,Consumer_Goods,8246,4997,3249
91442,Furniture,13539,8742,4797
91442,Consumer_Goods,3529,2472,1057
91442,Electronics,3355,1808,1547
1443,Furniture,10956,5912,5044
1443,Electronics,19449,9885,9564
1443,Industrial_Equipment,14498,10840,3658
91443,Electronics,16385,9396,6989
91443,Furniture,8995,5765,3230
91443,Automotive_Parts,2842,2409,433
1445,Industrial_Equipment,15602,8662,6940
1445,Food_Beverage,17033,11917,5116
1445,Apparel,4884,3054,1830
91445,Electronics,8057,5641,2416
91445,Pharmaceuticals,14217,5960,8257
91445,Automotive_Parts,8591,4897,3694
1447,Pharmaceuticals,3948,2801,1147
1447,Furniture,14290,11554,2736
1447,Food_Beverage,19340,12713,6627
91447,Electronics,16686,13141,3545
91447,Food_Beverage,8432,5101,3331
91447,Automotive_Parts,16739,7590,9149
1448,Consumer_Goods,3097,1933,1164
1448,Food_Beverage,13105,10279,2826
1448,Pharmaceuticals,13796,10378,3418
91448,Electronics,14658,5930,8728
91448,Food_Beverage,5069,2302,2767
91448,Pharmaceuticals,13269,5657,7612
1449,Industrial_Equipment,15389,12725,2664
1449,Apparel,10351,8301,2050
1449,Pharmaceuticals,19621,9022,10599
91449,Food_Beverage,17679,8278,9401
91449,Pharmaceuticals,15076,12297,2779
91449,Apparel,4102,1961,2141
1451,Electronics,4239,1734,2505
1451,Automotive_Parts,18470,14674,3796
1451,Food_Beverage,19893,16124,3769
91451,Industrial_Equipment,9665,5837,3828
91451,Food_Beverage,16361,12281,4080
91451,Apparel,2100,1781,319
1453,Consumer_Goods,9069,4019,5050
1453,Furniture,7711,4826,2885
1453,Pharmaceuticals,6790,4035,2755
91453,Electronics,6054,2496,3558
91453,Pharmaceuticals,8559,3940,4619
91453,Furniture,2688,1765,923
1455,Apparel,13432,7809,5623
1455,Industrial_Equipment,7069,4104,2965
1455,Electronics,4781,2627,2154
91455,Industrial_Equipment,6071,3217,2854
91455,Automotive_Parts,12630,10272,2358
91455,Food_Beverage,4456,1883,2573
1456,Electronics,16595,10547,6048
1456,Furniture,14695,8243,6452
1456,Automotive_Parts,13265,5715,7550
91456,Industrial_Equipment,2595,1706,889
91456,Furniture,13901,6159,7742
91456,Electronics,3499,2659,840
1459,Electronics,8275,6025,2250
1459,Food_Beverage,14305,6471,7834
1459,Pharmaceuticals,3194,2163,1031
91459,Electronics,8741,3752,4989
91459,Consumer_Goods,2987,2052,935
91459,Apparel,11675,5403,6272
1460,Industrial_Equipment,17205,13348,3857
1460,Food_Beverage,15020,12542,2478
1460,Pharmaceuticals,9733,8184,1549
91460,Electronics,12805,5610,7195
91460,Furniture,11290,5842,5448
91460,Food_Beverage,8887,7362,1525
1461,Automotive_Parts,8960,4115,4845
1461,Pharmaceuticals,11597,4640,6957
1461,Electronics,17536,7455,10081
91461,Automotive_Parts,8150,3503,4647
91461,Pharmaceuticals,6458,3295,3163
91461,Apparel,7721,3107,4614
1462,Pharmaceuticals,7174,4939,2235
1462,Electronics,7601,3941,3660
1462,Industrial_Equipment,15052,8250,6802
91462,Industrial_Equipment,5429,2619,2810
91462,Apparel,4918,2386,2532
91462,Automotive_Parts,10010,4709,5301
1464,Pharmaceuticals,13017,9015,4002
1464,Consumer_Goods,9144,5000,4144
1464,Electronics,15919,12946,2973
91464,Industrial_Equipment,14977,8406,6571
91464,Consumer_Goods,18821,11106,7715
91464,Food_Beverage,7094,3147,3947
1465,Food_Beverage,2071,1696,375
1465,Consumer_Goods,4741,3095,1646
1465,Pharmaceuticals,14408,7974,6434
91465,Apparel,13742,9222,4520
91465,Pharmaceuticals,15235,8464,6771
91465,Automotive_Parts,10283,7345,2938
1466,Pharmaceuticals,9059,5368,3691
1466,Furniture,16105,13621,2484
1466,Food_Beverage,9659,6935,2724
91466,Pharmaceuticals,9754,4062,5692
91466,Furniture,19525,14938,4587
91466,Automotive_Parts,11500,8018,3482
1468,Apparel,14950,7746,7204
1468,Consumer_Goods,14739,9947,4792
1468,Electronics,13211,10276,2935
91468,Furniture,10747,4512,6235
91468,Electronics,3920,2958,962
91468,Apparel,9480,4426,5054
1469,Pharmaceuticals,11106,6932,4174
1469,Industrial_Equipment,7578,3665,3913
1469,Furniture,12058,5621,6437
91469,Pharmaceuticals,7218,2989,4229
91469,Industrial_Equipment,4630,1919,2711
91469,Consumer_Goods,17228,12705,4523
1470,Automotive_Parts,6458,3034,3424
1470,Industrial_Equipment,13968,9959,4009
1470,Food_Beverage,11600,5660,5940
91470,Pharmaceuticals,5887,3851,2036
91470,Furniture,2840,1787,1053
91470,Food_Beverage,4626,2086,2540
1471,Pharmaceuticals,10140,6035,4105
1471,Apparel,10298,6389,3909
1471,Industrial_Equipment,18342,14092,4250
91471,Pharmaceuticals,3351,1974,1377
91471,Consumer_Goods,16862,13104,3758
91471,Apparel,14036,9188,4848
1472,Consumer_Goods,2669,2018,651
1472,Electronics,4570,2015,2555
1472,Industrial_Equipment,5006,4114,892
91472,Automotive_Parts,8815,6831,1984
91472,Pharmaceuticals,5312,3151,2161
91472,Food_Beverage,5684,3186,2498
1473,Apparel,13715,6169,7546
1473,Food_Beverage,19089,9742,9347
1473,Consumer_Goods,10679,8524,2155
91473,Electronics,14679,8865,5814
91473,Industrial_Equipment,8659,3754,4905
91473,Automotive_Parts,17090,12996,4094
1475,Apparel,10303,5147,5156
1475,Electronics,13096,5390,7706
1475,Automotive_Parts,12686,5276,7410
91475,Furniture,13815,10188,3627
91475,Industrial_Equipment,9601,7166,2435
91475,Automotive_Parts,3067,1597,1470
1479,Pharmaceuticals,17095,11151,5944
1479,Automotive_Parts,16046,13412,2634
1479,Consumer_Goods,11083,6101,4982
91479,Automotive_Parts,18713,15129,3584
91479,Food_Beverage,19068,8757,10311
91479,Consumer_Goods,19838,15041,4797
1480,Apparel,7019,5856,1163
1480,Furniture,16703,10436,6267
1480,Industrial_Equipment,5679,3604,2075
91480,Pharmaceuticals,3599,2562,1037
91480,Apparel,10047,5598,4449
91480,Automotive_Parts,17275,12424,4851
1482,Apparel,19136,8969,10167
1482,Industrial_Equipment,4500,2824,1676
1482,Automotive_Parts,14453,9237,5216
91482,Automotive_Parts,12805,6452,6353
91482,Furniture,6300,4972,1328
91482,Consumer_Goods,8813,3961,4852
1486,Automotive_Parts,17237,11386,5851
1486,Consumer_Goods,6705,3435,3270
1486,Pharmaceuticals,9254,5520,3734
91486,Automotive_Parts,10450,7689,2761
91486,Electronics,17617,10435,7182
91486,Food_Beverage,8822,4866,3956
1487,Automotive_Parts,17714,14304,3410
1487,Apparel,3673,2215,1458
1487,Consumer_Goods,17854,9423,8431
91487,Consumer_Goods,15086,9393,5693
91487,Industrial_Equipment,15313,11448,3865
91487,Furniture,14398,11715,2683
1490,Electronics,6924,4327,2597
1490,Pharmaceuticals,8282,6826,1456
1490,Industrial_Equipment,7907,4970,2937
91490,Consumer_Goods,13509,8565,4944
91490,Industrial_Equipment,9776,7734,2042
91490,Pharmaceuticals,4322,2427,1895
1491,Food_Beverage,11961,8563,3398
1491,Apparel,10239,4333,5906
1491,Pharmaceuticals,17860,14966,2894
91491,Food_Beverage,5680,3028,2652
91491,Consumer_Goods,14102,7489,6613
91491,Apparel,17763,10804,6959
1492,Consumer_Goods,13854,10236,3618
1492,Pharmaceuticals,13008,10339,2669
1492,Apparel,5119,2682,2437
91492,Food_Beverage,5629,2597,3032
91492,Electronics,11893,6463,5430
91492,Furniture,13268,6103,7165
1493,Consumer_Goods,16277,7649,8628
1493,Automotive_Parts,2386,1828,558
1493,Electronics,12023,5680,6343
91493,Food_Beverage,11443,5579,5864
91493,Electronics,4121,3432,689
91493,Apparel,15036,7426,7610
1494,Consumer_Goods,2324,1722,602
1494,Apparel,11479,9482,1997
1494,Automotive_Parts,9812,6283,3529
91494,Electronics,5652,4493,1159
91494,Industrial_Equipment,13057,7227,5830
91494,Apparel,14436,9203,5233
1495,Food_Beverage,3442,1411,2031
1495,Consumer_Goods,7106,4105,3001
1495,Pharmaceuticals,4060,2476,1584
91495,Industrial_Equipment,9949,4468,5481
91495,Furniture,12680,8490,4190
91495,Electronics,18499,10633,7866
1497,Food_Beverage,17377,11447,5930
1497,Pharmaceuticals,15455,12516,2939
1497,Electronics,10908,8476,2432
91497,Industrial_Equipment,4756,3379,1377
91497,Food_Beverage,11178,7910,3268
91497,Consumer_Goods,10435,7745,2690
1499,Furniture,10834,5667,5167
1499,Automotive_Parts,6767,4980,1787
1499,Electronics,14011,8580,5431
91499,Food_Beverage,14831,7433,7398
91499,Electronics,4869,3514,1355
91499,Industrial_Equipment,15299,7955,7344
